date,time,title,slug
2/14/2017,3:00,MONCLER GRENOBLE,moncler-grenoble
2/14/2017,3:30,JOSIE NATORI,josie-natori
2/14/2017,4:00,COACH,coach
2/14/2017,4:00,APIECE APART,apiece-apart
2/14/2017,5:00 - 7:00,MANSUR GAVRIEL,
2/14/2017,5:30,THREEASFOUR,threeasfour
2/14/2017,6:00,BRANDON MAXWELL,brandon-maxwell
2/14/2017,6:00,REEM ACRA,reem-acra
2/14/2017,6:00 - 8:00,NOMIA,nomia
2/14/2017,7:00 - 9:00,ZAC POSEN,zac-posen
2/14/2017,8:00,NARCISO RODRIGUEZ,narciso-rodriguez
2/14/2017,8:00,XULY BËT,xulybet
2/14/2017,9:00,PYER MOSS,pyer-moss
2/14/2017,10:00 - 12:00,BAJA EAST,baja-east
2/15/2017,10:00,MICHAEL KORS,michael-kors-collection
2/15/2017,10:00,ATM ANTHONY THOMAS MELILLO,atm-anthony-thomas-melillo
2/15/2017,11:00,DELPOZO,delpozo
2/15/2017,11:00 - 1:00,KLS KIMORA LEE SIMMONS,kls-kimora-lee-simmons
2/15/2017,12:00,VIVIENNE TAM,vivienne-tam
2/15/2017,12:00,BONNIE YOUNG ,by-bonnie-young
2/15/2017,12:00 - 1:30,BROOKS BROTHERS,brooks-brothers
2/15/2017,1:00,BIBHU MOHAPATRA,bibhu-mohapatra
2/15/2017,1:30,J. MENDEL,j-mendel
2/15/2017,2:30 ,DEREK LAM,derek-lam
2/15/2017,3:00,YEEZY,kanye-west-adidas-originals
2/15/2017,4:00,ANNA SUI,anna-sui
2/15/2017,5:00,MARCHESA,marchesa
2/15/2017,5:00,WENDY NICHOL,wendy-nichol
2/15/2017,6:00,THOM BROWNE,thom-browne
2/15/2017,7:00,RALPH LAUREN ,ralph-lauren
2/15/2017,8:00 - 9:00,MAKI OH,maki-oh
2/15/2017,9:00,ASSEMBLY NEW YORK,assembly
2/16/2017,9:00 ,SEE BY CHLOE,see-by-chloe
2/16/2017,10:30,ZOE JORDAN ,zoe-jordan
2/16/2017,12:00 - 1:00,DAVID MICHAEL,david-michael
2/16/2017,2:00,MARC JACOBS,marc-jacobs
2/16/2017,5:00,NILI LOTAN,nili-lotan
2/16/2017,TBD,VICTOR ALFARO,
2/17/2017,11:00,MARCHESA NOTTE,marchesa-notte
2/20/2017,TBD,KAREN WALKER,karen-walker
3/7/2017,9:00,M MISSONI  ,m-missoni
3/7/2017,10:30,HALSTON HERITAGE,halston-heritage
,,SALONI,
MARCH,,A.L.C.,a-l-c-
,,OPENING CEREMONY?,opening-ceremony
,,DKNY,dkny
,,TOM FORD ,tom-ford
,,FENTY x PUMA,
,,BABYGHOST,babyghost
,,HERVE LEGER,herve-leger-by-max-azria
,,MCQ ALEXANDER MCQUEEN,mcq-alexander-mcqueen
,,TIMO WEILAND,timo-weiland
,,WES GORDON,wes-gordon
,, ,suno
,,NANETTE LEPORE,nanette-lepore
,,LISA PERRY,lisa-perry
,,LISA MARIE FERNANDEZ ,lisa-marie-fernandez
,,SEA,sea
,,Lemlem,lemlem
,,SOPHIE THEALLET,
,,STEVEN ALAN,
,,PHELAN,phelan
,,ELECTRIC FEATHERS,
,,THE GREAT,
,,ORGANIC BY JOHN PATRICK,
,,BLK DNM,blk-dnm
,,VEDA?,
,,HOUGHTON?,
,,KITH?,
,,J BRAND,
,,RR331 ,rr331
,,JOSH GOOT,
 , ,BANANA REPUBLIC,banana-republic
,,ORLA KIELY,orla-kiely
,,AKRIS,akris
,,RODEBJER,rodebjer
,,BRANDON SUN,
,,COSTELLO TAGLIAPIETRA,
,,BOSS,
,,MM6 - London,
,,MAIYET,kaelen
,,THAKOON ADDITION,
,,PORSCHE DESIGN,
,,ZOE JORDAN,
,,VPL,
,,TIM COPPENS,
,,MBMJ,
,,6397,
,,DONNA KARAN,
,,RACHEL ROY,
,,JEREMY LAING,
,,TOCCA,
,,CHADWICK BELL,
,,ALEXANDRE HERCHCOVITCH,
,,AND RE WALKER,
,,KAUFMANFRANCO,
,,ROBERT RODRIGUEZ,
,,CATHERINE MALANDRINO,
,,TUCKER,
,,GREGORY PARKINSON,
,,TRIBUNE STANDARD,
,,WAYNE,
,,FAITH CONNEXION - PARIS,
,,PEDRO DEL HIERRO MADRID,
,,BESPOKEN,
,,MARK MCNAIRY,
,,HONOR,
,,RICHARD CHAI,
,,LYN DEVON,
,,TESS GIBERSON,
,,TIA CIBANI,
,,TAMARA MELLON,
,,VERA WANG,
 , ,HOOD BY AIR*,hood-by-air
,,MAISON MAYLE*,maison-mayle
,,URBAN ZEN,organic-by-john-patrick
,, POLO RALPH LAUREN  ,sophie-theallet
,,ORLEY,
,,SCOTCH & SODA ,
,,SUNO,
,,BAND OF OUTSIDERS,band-of-outsiders
